"role","file","source","source_commit","note"
"frq","bet.frq","steps/02b-Ini1007/model/bet.frq","8e1304d","inherited from 02b-Ini1007"
"ini","bet.ini","steps/02b-Ini1007/model/bet.ini","8e1304d","set Length-weight parameters from `3.063397e-05 2.932384` to `3.073533e-05 2.932410`"
"tag","bet.tag","steps/02b-Ini1007/model/bet.tag","8e1304d","inherited from 02b-Ini1007; tag reporting map regenerated from ini/tag"
"age_length","bet.age_length","steps/02b-Ini1007/model/bet.age_length","8e1304d","inherited from 02b-Ini1007"
"doitall","doitall.sh","steps/02b-Ini1007/model/doitall.sh","8e1304d","current-executable controls regenerated; 1007 tag flags drive mixing periods; PHASE 10/11 convergence switch retained"
