"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","steps/03-Ini1007/model/bet.age_length","","5efbaec","steps/03-Ini1007/model/bet.age_length","a4ee2efa951a6ae8dc9ac427a4b6d5bb664d3d48d4539ba87eb46bcb0f948614","a4ee2efa951a6ae8dc9ac427a4b6d5bb664d3d48d4539ba87eb46bcb0f948614","unverified","unlocked","inherited from 03-Ini1007"
"doitall","doitall.sh","steps/03-Ini1007/model/doitall.sh","","5efbaec","steps/03-Ini1007/model/doitall.sh","b175b5f372a8c2243c3645492e1812d4bc9b9ad61a63d1d68ad4f3737c54fe52","5edab8fb6aa7756a3442cd750cee8ac7458ff98e78eee074369906c741dbe608","unverified","unlocked","current-executable controls regenerated; 1007 tag flags drive mixing periods; PHASE 10/11 convergence switch retained"
"frq","bet.frq","steps/03-Ini1007/model/bet.frq","","5efbaec","steps/03-Ini1007/model/bet.frq","ef3d8957686f44904645eeddde29730913a5f636dde118a3aa02a421efb96e5e","ef3d8957686f44904645eeddde29730913a5f636dde118a3aa02a421efb96e5e","unverified","unlocked","inherited from 03-Ini1007"
"ini","bet.ini","steps/03-Ini1007/model/bet.ini","","5efbaec","steps/03-Ini1007/model/bet.ini","82c2146b16a9e94c77de8d4d37d2c555f0f80aec30fae946c88d6bc1ba81b17d","22cbcd660eec9277095bb486d2e790c168a35bf585f89b4ed6663ef746ad83c2","unverified","unlocked","Lorenzen natural-mortality scaling fixed to the 2023 diagnostic-model estimate from the 01-Diag2023 mgc=-5 diagnostic final par"
"tag","bet.tag","steps/03-Ini1007/model/bet.tag","","5efbaec","steps/03-Ini1007/model/bet.tag","d1608e52c19e0e211eb46f008b51ac0086bb31cd3ff943bb75c3728f78030641","d1608e52c19e0e211eb46f008b51ac0086bb31cd3ff943bb75c3728f78030641","unverified","unlocked","inherited from 03-Ini1007; tag reporting map regenerated from ini/tag"
