"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.age_length","","81fc412","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.age_length","a4ee2efa951a6ae8dc9ac427a4b6d5bb664d3d48d4539ba87eb46bcb0f948614","a4ee2efa951a6ae8dc9ac427a4b6d5bb664d3d48d4539ba87eb46bcb0f948614","unverified","unlocked","original 2023 diagnostic CAAL input"
"doitall","doitall.sh","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/doitall.sh","","81fc412","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/doitall.sh","0ecb0e39d43782a0f7e9fe7bbae05dd1a77ff1ea9127a31382b69fbe76c39a6f","7f5879297ea83255a24f85fa749382e1534e3cbd23bc6554938f76b553ae311f","unverified","unlocked","historical 2023 diagnostic control script with PHASE 10/11 convergence switch; run_stepwise resolves bare mfclo64 to the historical 2.2.2.0 executable for this step"
"fishery_map","fishery_map.R","input-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/fishery_map.R","","847d036","input-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/fishery_map.R","6f001b4fc45efca388b882e3026ede423550d4375d83d5d066fed4714cf15560","6f001b4fc45efca388b882e3026ede423550d4375d83d5d066fed4714cf15560","unverified","unlocked","display metadata copied from the 2023 assessment replication inputs; fishery definitions match the diagnostic model"
"fitted_source","JOB13328","","","","","","","not-public","unresolved","Job13328 fitted-model source metadata is inaccessible without Kflow credentials; do not represent it as public until repository commit path and SHA256 are supplied"
"frq","bet.frq","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.frq","","81fc412","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.frq","ef3d8957686f44904645eeddde29730913a5f636dde118a3aa02a421efb96e5e","ef3d8957686f44904645eeddde29730913a5f636dde118a3aa02a421efb96e5e","unverified","unlocked","original 2023 diagnostic frequency/catch/size input"
"hessian_merge","JOB13432","","","","","","","not-public","unresolved","Job13432 Hessian-merge metadata is inaccessible without Kflow credentials; it is not the Job13328 fitted-model source"
"ini","bet.ini","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.ini","","81fc412","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.ini","cb89296e12a694647cfda434437d6a51d3cfcc8aaa5a123ee601b00d487e1d9d","cb89296e12a694647cfda434437d6a51d3cfcc8aaa5a123ee601b00d487e1d9d","unverified","unlocked","original 2023 diagnostic ini, intentionally not promoted or edited"
"tag","bet.tag","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.tag","","81fc412","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.tag","d1608e52c19e0e211eb46f008b51ac0086bb31cd3ff943bb75c3728f78030641","d1608e52c19e0e211eb46f008b51ac0086bb31cd3ff943bb75c3728f78030641","unverified","unlocked","original 2023 diagnostic tag input"
