"role","file","source","note"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.wt.as.len.plus.len.frq","chopped to records with year <= 2021; reset frq tag-group header to 90 to match the selected tag input"
"ini","bet.ini","steps/03-RegFish/model/bet.ini","FixM M row applied"
"tag","bet.tag","steps/03-RegFish/model/bet.tag","tag reporting map regenerated from ini/tag; five MFCL reporting-rate matrices parsed"
"age_length","bet.age_length","input-repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2023.new-structure.age_length","CAAL input"
"doitall","doitall.sh","steps/03-RegFish/model/doitall.sh","03-RegFish 5-region controls retained; doitall exits immediately on MFCL command failure"
"region_map","bet.region_map.geojson","R/write_bet_region_map_assets.R","default BET 2026 5-region polygon shape; used automatically by mfclshiny when present"
"region_map","bet.region_map-vertices.csv","R/write_bet_region_map_assets.R","portable vertex table for the same 5-region shape"
"region_map","bet.region_map-map.png","R/write_bet_region_map_assets.R","lightweight preview map"
