"role","file","source","source_commit","note"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.wt.as.len.plus.len.frq","7d636e8","copied without year chopping"
"ini","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2026.ini","b39cbfd","FixM M row applied; filled 7 missing tag reporting-rate matrix rows before the pooled row for release groups 92-98 by matching tag program/region/year/month rows from bet.2023.new.structure.ini; normalized tag flags marker; padded existing MFCL 1007 tag flags from 91 to 98 release groups with 2 mixing periods and reporting rates excluded during mixing"
"tag","bet.tag","input-repos/ofp-sam-2026-BET-YFT-tag-prep/BET/bet.2026.low.recaps.removed.tag","f6a9e4a","tag reporting map regenerated from ini/tag; five MFCL reporting-rate matrices parsed"
"age_length","bet.age_length","input-repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2026.age_length","a26b694","CAAL input"
"reg_scaling","bet.reg_scaling","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","7d636e8","global CPUE regional-scaling matrix for MFCL parest flags 77-81"
"doitall","doitall.sh","steps/03-RegFish/model/doitall.sh","3431488","03-RegFish 5-region controls retained; regional scaling Prior_reg_biomass switch applied in PHASE 5 with flags 77-81 and prior start period 3; index CPUE/selectivity groups unshared from PHASE 5; doitall exits immediately on MFCL command failure"
