"role","file","source","source_commit","note"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","f89e066","copied with agreed effort-creep multiplier applied to index fisheries 29-33: 1%/yr for 1952-1976 and 0.5%/yr for 1977-2024"
"ini","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini","386d169","FixM M row applied from the 01-Diag2023 mgc=-5 diagnostic final par; raised 2 zero tag mixing periods to 1 because MFCL >=2.2.7.5 disallows 0; normalized MFCL 1007 tag-control rows for 98 release groups"
"tag","bet.tag","input-repos/ofp-sam-2026-BET-YFT-tag-prep/BET/bet.2026.low.recaps.removed.tag","471b2fd","tag reporting map regenerated from ini/tag; five MFCL reporting-rate matrices parsed"
"age_length","bet.age_length","input-repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2026.age_length","a26b694","CAAL input; set age_length effective sample size to 0.75 for 181 records"
"reg_scaling","bet.reg_scaling","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","f89e066","full global CPUE regional-scaling matrix copied unchanged; parest flags 77-81 define active periods 53-72 so native MFCL takes only the flagged rows internally"
"doitall","doitall.sh","steps/04a-SelectivityReview/model/doitall.sh","a8e9784","mixing override removed; regional scaling Prior_reg_biomass switch applied in PHASE 5 with flags 77=50, 78=1, 79=240, 80=220, 81=1; active periods 53-72 (1965-1969); index CPUE/selectivity groups unshared from PHASE 5; doitall exits immediately on MFCL command failure; index fishery time-varying CPUE CV flags enabled"
