"role","file","source","source_commit","note"
"frq","bet.frq","steps/02a-NewExe/model/bet.frq","5313935","inherited from 02a-NewExe"
"ini","bet.ini","steps/02a-NewExe/model/bet.ini","5313935","set ini version to 1007; inserted MFCL 1007 tag-control rows for 118 release groups with 2 mixing periods; inserted zero tag shed-rate vector for 118 release groups; inserted MFCL 1007 total-population scalar default 25; inserted MFCL 1007 Richards growth parameter default 0"
"tag","bet.tag","steps/02a-NewExe/model/bet.tag","5313935","inherited from 02a-NewExe; tag reporting map regenerated from ini/tag"
"age_length","bet.age_length","steps/02a-NewExe/model/bet.age_length","5313935","inherited from 02a-NewExe"
"doitall","doitall.sh","steps/02a-NewExe/model/doitall.sh","5313935","current-executable controls regenerated; 1007 tag flags drive mixing periods; PHASE 10/11 convergence switch retained"
