"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","input-repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2023.new-structure.age_length","","a26b694","input-repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2023.new-structure.age_length","1c51daab63859af5392d42d5ebbff6bd1821ff315f5fddea083bcc2ba849bcef","5529b5c52079f9cde36f84a133bc9864b27bd70d41ece809f4863e5a29786135","unverified","unlocked","set age_length effective sample size to 0.75 for 112 records"
"doitall","doitall.sh","steps/04-NewStructure/model/doitall.sh","","5bd6372","steps/04-NewStructure/model/doitall.sh","85629b618948963ef649d0a258ffa3275d7580e0713f13d35d0b6391b0dcbdf4","85629b618948963ef649d0a258ffa3275d7580e0713f13d35d0b6391b0dcbdf4","unverified","unlocked","generated from the five-region template with only declared cumulative controls"
"fitted_source","JOB13328","","","","","","","not-public","unresolved","Job13328 fitted-model source metadata is inaccessible without Kflow credentials; do not represent it as public until repository commit path and SHA256 are supplied"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-structure.global-cpue.wt-as-len-plus-len.frq","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-structure.global-cpue.wt-as-len-plus-len.frq","21bf76372bbd8b7ef570f1f5dbd4c6821f00efd20e7b7174fc58a09fda34d78d","21bf76372bbd8b7ef570f1f5dbd4c6821f00efd20e7b7174fc58a09fda34d78d","unverified","unlocked","copied without year chopping"
"hessian_merge","JOB13432","","","","","","","not-public","unresolved","Job13432 Hessian-merge metadata is inaccessible without Kflow credentials; it is not the Job13328 fitted-model source"
"ini","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2026.ini","","386d169","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2026.ini","705a9f1a154b7e5f6cb1413b81c08d256dd757ffde55de16cf0dcb821d44b9c1","a0f3973fab2ee37be0d5831803d600106e7b9c3f385261fdb24d5539f537acab","unverified","unlocked","Fixed Lorenzen natural-mortality intercept applied from the 01-Diag2023 mgc=-5 diagnostic final par; normalized MFCL 1007 tag-control rows for 98 release groups; RRPTTP26 rebuilt the complete RTTP/PTTP/JPTP group, active, initial, target, and penalty matrices from the audited 33-fishery table; set only tag_flags(:,2) to 0"
"ini_reporting_rates","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini","","386d169","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini","b34642025b318cfdb676dffd232727cea27002d05c67bbd681f75c26e25d7174","a0f3973fab2ee37be0d5831803d600106e7b9c3f385261fdb24d5539f537acab","unverified","unlocked","rrpttp26 reporting-rate matrices only"
"rrpttp26_reporting_audit","bet.ini","config/rrpttp26-reporting-rates.csv","","5bd6372","config/rrpttp26-reporting-rates.csv","6d926d0bef79f54a8fc0a573480959b7f91e9f90be1e912068662edfac388db2","a0f3973fab2ee37be0d5831803d600106e7b9c3f385261fdb24d5539f537acab","unverified","unlocked","complete audited 33-fishery RRPTTP26 matrix specification"
"tag","bet.tag","inputs/bet.2026.low.recaps.removed.tag","","5bd6372","inputs/bet.2026.low.recaps.removed.tag","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","unverified","unlocked","exact selected tag input; never replaced by an earlier step"
