"role","file","source","note"
"parent_model","steps/12-OrthogonalPoly/model","current branch","Copied at runtime; no fitted parent PAR is reused."
"runtime_patch","patch.R","current branch","Applies documented controls after staging and before -makepar."
"model_specification","R/step12_opr_terminal_penalty_lf_config.R","current branch","Adds one reporting-rate parameter for the two 2021 campaign releases across fisheries 25-28, retaining target 0.52015 and penalty 485.2. This tests campaign-specific reporting without deleting observations."
