"role","file","source","source_commit","note"
"frq","bet.frq","external-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/bet.frq","847d036","2023 assessment replication frequency/catch/size input"
"ini","bet.ini","external-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/bet.ini","847d036","MFCL 1003 ini from the 2023 assessment replication input set; not promoted in this substep"
"tag","bet.tag","external-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/bet.tag","847d036","2023 replication tag input; tag reporting map regenerated from ini/tag"
"age_length","bet.age_length","external-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/bet.age_length","847d036","2023 replication CAAL input"
"doitall","doitall.sh","external-repos/ofp-sam-2026-BET/mfcl/inputs/2023_rep/doitall.sh","847d036","2023 assessment replication controls adapted for the current executable with PROGRAM_PATH wrapper, PHASE 10/11 convergence switch, and 1003 ini tag mixing override retained"
