fishery,RTTP_group,RTTP_active,RTTP_initial,RTTP_target,RTTP_penalty,PTTP_group,PTTP_active,PTTP_initial,PTTP_target,PTTP_penalty,JPTP_group,JPTP_active,JPTP_initial,JPTP_target,JPTP_penalty
1,1,1,0.5,50,1,1,1,0.5,50,1,19,1,0.5,50,1
2,1,1,0.5,50,1,1,1,0.5,50,1,20,1,0.5,50,1
3,2,0,0,0,0,2,0,0,0,0,21,0,0,0,0
4,1,1,0.5,50,1,1,1,0.5,50,1,20,1,0.5,50,1
5,1,1,0.5,50,1,1,1,0.5,50,1,20,1,0.5,50,1
6,1,1,0.5,50,1,1,1,0.5,50,1,20,1,0.5,50,1
7,1,1,0.5,50,1,1,1,0.5,50,1,20,1,0.5,50,1
8,1,1,0.5,50,1,1,1,0.5,50,1,20,1,0.5,50,1
9,1,1,0.5,50,1,1,1,0.5,50,1,20,1,0.5,50,1
10,1,1,0.5,50,1,1,1,0.5,50,1,20,1,0.5,50,1
11,3,0,0,0,0,3,0,0,0,0,22,0,0,0,0
12,4,0,0,0,0,12,0,0,0,0,23,1,0.5,50,1
13,5,0,0,0,0,12,0,0,0,0,23,1,0.5,50,1
14,6,1,0.5,50,1,13,1,0.5,50,1,24,0,0,0,0
15,6,1,0.5,50,1,13,1,0.5,50,1,24,0,0,0,0
16,6,1,0.5,50,1,13,1,0.5,50,1,25,0,0,0,0
17,6,1,0.5,50,1,13,1,0.5,50,1,24,0,0,0,0
18,6,1,0.5,50,1,13,1,0.5,50,1,24,0,0,0,0
19,7,1,0.4962,49.62,354.5,14,1,0.4962,49.62,354.5,26,0,0,0,0
20,7,1,0.4962,49.62,354.5,14,1,0.4962,49.62,354.5,26,0,0,0,0
21,6,1,0.5,50,1,13,1,0.5,50,1,24,0,0,0,0
22,6,1,0.5,50,1,13,1,0.5,50,1,24,0,0,0,0
23,8,0,0,0,0,15,0,0,0,0,27,0,0,0,0
24,9,0,0,0,0,16,0,0,0,0,28,0,0,0,0
25,10,1,0.5121,51.21,739.2,17,1,0.5121,51.21,739.2,29,1,0.5,50,1
26,11,0,0,0,0,18,1,0.5282,52.82,231.2,30,0,0,0,0
27,10,1,0.5121,51.21,739.2,17,1,0.5121,51.21,739.2,29,1,0.5,50,1
28,11,0,0,0,0,18,1,0.5282,52.82,231.2,30,0,0,0,0
29,31,0,0,0,0,31,0,0,0,0,31,0,0,0,0
30,31,0,0,0,0,31,0,0,0,0,31,0,0,0,0
31,31,0,0,0,0,31,0,0,0,0,31,0,0,0,0
32,31,0,0,0,0,31,0,0,0,0,31,0,0,0,0
33,31,0,0,0,0,31,0,0,0,0,31,0,0,0,0
