scope,postmix_recaptures,focal_fisheries,focal_recaptures,focal_share
All programmes,3426,F1-F28,3426,1.000
JPTP,151,F1/F12/F13,141,0.934
PTTP Region 4 releases,2405,F25-F28,2239,0.931
