"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","input-repos/ofp-sam-bet-2026-exploration/reference-inputs/age-length-variants/bet.2026.sub.basin.0.75.age_length","","bdb5b35","input-repos/ofp-sam-bet-2026-exploration/reference-inputs/age-length-variants/bet.2026.sub.basin.0.75.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","unverified","unlocked","exact source variant retained"
"doitall","doitall.sh","steps/04-NewStructure/model/doitall.sh","","060704d","steps/04-NewStructure/model/doitall.sh","b68ed9f506cf7c654fdfc418ca704ed81185e1d2abefb33ed4b7df91841a77c2","ae0bee399d7fa61f58b099dc77d2faaa40d0c8c2a09b71c23e566bcb6f4419ef","unverified","unlocked","generated from the five-region template with only declared cumulative controls"
"fitted_source","JOB13328","","","","","","","not-public","unresolved","Job13328 fitted-model source metadata is inaccessible without Kflow credentials; do not represent it as public until repository commit path and SHA256 are supplied"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","5e2520afef613c563b27ee794c402e192dfdb114edc52c130323fa80ae876152","d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c","unverified","unlocked","generated from the authoritative FRQ by changing only positive effort for F29-F33"
"hessian_merge","JOB13432","","","","","","","not-public","unresolved","Job13432 Hessian-merge metadata is inaccessible without Kflow credentials; it is not the Job13328 fitted-model source"
"ini","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2026.ini","","386d169","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2026.ini","705a9f1a154b7e5f6cb1413b81c08d256dd757ffde55de16cf0dcb821d44b9c1","6252baa726e1c6f5f362b45a1df14bceda91ccfaa1192c38e9f070193544ce84","unverified","unlocked","Fixed Lorenzen natural-mortality intercept applied from the 01-Diag2023 mgc=-5 diagnostic final par; normalized MFCL 1007 tag-control rows for 98 release groups; RRPTTP26 rebuilt the complete RTTP/PTTP/JPTP group, active, initial, target, and penalty matrices from the audited 33-fishery table; copied only tag_flags(:,1) from bet.2026.mix-0.15.ini; set only tag_flags(:,2) to 1"
"ini_reporting_rates","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini","","386d169","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini","b34642025b318cfdb676dffd232727cea27002d05c67bbd681f75c26e25d7174","6252baa726e1c6f5f362b45a1df14bceda91ccfaa1192c38e9f070193544ce84","unverified","unlocked","rrpttp26 reporting-rate matrices only"
"ini_tag_mixing","bet.ini","inputs/bet.2026.mix-0.15.ini","","060704d","inputs/bet.2026.mix-0.15.ini","b8a43730e7808c0f2d0f07924a2e175910294ce63a1359c2585b44f9e5e2dad6","6252baa726e1c6f5f362b45a1df14bceda91ccfaa1192c38e9f070193544ce84","unverified","unlocked","only tag_flags(:,1) copied; tag_flags(:,2) and all other INI fields retained"
"reg_scaling","bet.reg_scaling","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","5f047ddb4053d1f6df9ace18e85e440b11553de246d024ce8138b427f5f9f7e3","unverified","unlocked","active periods 53-72"
"reg_scaling_full","bet.reg_scaling.full","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","dea4c281f7dc46a7412b7ad2e78906ee57b51b62cf1a18c4609381132bf752ed","unverified","unlocked","complete source matrix retained as a calculation/audit artifact"
"rrpttp26_reporting_audit","bet.ini","config/rrpttp26-reporting-rates.csv","","060704d","config/rrpttp26-reporting-rates.csv","6d926d0bef79f54a8fc0a573480959b7f91e9f90be1e912068662edfac388db2","6252baa726e1c6f5f362b45a1df14bceda91ccfaa1192c38e9f070193544ce84","unverified","unlocked","complete audited 33-fishery RRPTTP26 matrix specification"
"tag","bet.tag","inputs/bet.2026.low.recaps.removed.tag","","060704d","inputs/bet.2026.low.recaps.removed.tag","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","unverified","unlocked","exact selected tag input; never replaced by an earlier step"
