"role","file","source","note"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.wt.as.len.plus.len.frq","copied without year chopping"
"ini","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini","FixM M row applied; raised 36 zero tag mixing periods to 1 because MFCL >=2.2.7.5 disallows 0"
"tag","bet.tag","input-repos/ofp-sam-2026-BET-YFT-tag-prep/BET/bet.2026.low.recaps.removed.tag","tag reporting map regenerated from ini/tag; five MFCL reporting-rate matrices parsed"
"age_length","bet.age_length","input-repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2026.age_length","CAAL input"
"reg_scaling","bet.reg_scaling","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","global CPUE regional-scaling matrix for MFCL parest flags 77-81"
"doitall","doitall.sh","steps/03-RegFish/model/doitall.sh","mixing override removed; regional scaling Prior_reg_biomass switch applied in PHASE 5 with flags 77-81 and prior start period 3; index CPUE/selectivity groups unshared from PHASE 5; doitall exits immediately on MFCL command failure; fish flag 26 set to 3"
