"row_type","source","R1","R2","R3","R4","R5"
"job13328_cpue_mle_sigma","Job13328 submitted S011 CPUE observation-error scales; PacificCommunity/ofp-sam-bet-2026-exploration@c940601bb95797a5cc5b4a2dbc01cfd6daa86a70/sensitivity/S011-DM-G8PSSET-CEST-NOCUT-SUB075-MIX015-TAGF2ON-NMAX25-REGW100-RRPTTP26/model/doitall.sh; SHA256 a47ef47502d94229bc68ea963256e6243e2579fce4320a21a2eb55fc738ed471",0.354,0.237,0.212,0.239,0.225
"applied_fish_flag_92","exact executed fish flag 92 controls",35,24,21,24,23
