"line","period","fishery","total_before","total_after","removed_count","action"
4858,"2010Q1",21,9,9,0,"unchanged"
4859,"2010Q2",21,257,251,6,"zero_bins_midpoint_gt90"
4860,"2010Q3",21,14,0,14,"remove_empty_lf_composition"
4861,"2010Q4",21,4,4,0,"unchanged"
4862,"2011Q1",21,128,92,36,"zero_bins_midpoint_gt90"
4863,"2011Q2",21,72,72,0,"unchanged"
4864,"2011Q3",21,69,69,0,"unchanged"
4865,"2011Q4",21,58,58,0,"unchanged"
4866,"2012Q1",21,18,18,0,"unchanged"
4867,"2012Q2",21,18,18,0,"unchanged"
4868,"2012Q3",21,15,15,0,"unchanged"
4869,"2012Q4",21,42,42,0,"unchanged"
4870,"2013Q1",21,91,91,0,"unchanged"
4871,"2013Q2",21,53,53,0,"unchanged"
4872,"2013Q3",21,63,63,0,"unchanged"
4873,"2013Q4",21,41,41,0,"unchanged"
4874,"2014Q1",21,23,23,0,"unchanged"
4875,"2014Q2",21,50,50,0,"unchanged"
4876,"2014Q3",21,26,26,0,"unchanged"
4877,"2014Q4",21,42,42,0,"unchanged"
4878,"2015Q1",21,65,65,0,"unchanged"
4879,"2015Q2",21,46,46,0,"unchanged"
4880,"2015Q3",21,53,53,0,"unchanged"
4881,"2015Q4",21,205,205,0,"unchanged"
4882,"2016Q1",21,65,65,0,"unchanged"
4883,"2016Q2",21,35,35,0,"unchanged"
4884,"2016Q3",21,35,35,0,"unchanged"
4885,"2016Q4",21,43,43,0,"unchanged"
4886,"2017Q1",21,18,18,0,"unchanged"
4887,"2017Q2",21,32,32,0,"unchanged"
4888,"2017Q3",21,22,22,0,"unchanged"
4889,"2017Q4",21,23,23,0,"unchanged"
4890,"2018Q1",21,45,45,0,"unchanged"
4891,"2018Q2",21,37,37,0,"unchanged"
4892,"2018Q3",21,40,40,0,"unchanged"
4893,"2018Q4",21,46,46,0,"unchanged"
4894,"2019Q1",21,49,49,0,"unchanged"
4895,"2019Q2",21,39,39,0,"unchanged"
4896,"2019Q3",21,64,64,0,"unchanged"
4897,"2019Q4",21,75,75,0,"unchanged"
4958,"1980Q1",22,78,63,15,"zero_bins_midpoint_gt90"
4959,"1980Q2",22,66,63,3,"zero_bins_midpoint_gt90"
4962,"1981Q1",22,25,25,0,"unchanged"
4966,"1982Q1",22,132,132,0,"unchanged"
4967,"1982Q2",22,361,316,45,"zero_bins_midpoint_gt90"
4968,"1982Q3",22,125,108,17,"zero_bins_midpoint_gt90"
4969,"1982Q4",22,120,111,9,"zero_bins_midpoint_gt90"
4970,"1983Q1",22,88,85,3,"zero_bins_midpoint_gt90"
4971,"1983Q2",22,53,40,13,"zero_bins_midpoint_gt90"
4972,"1983Q3",22,110,104,6,"zero_bins_midpoint_gt90"
4973,"1983Q4",22,197,161,36,"zero_bins_midpoint_gt90"
4974,"1984Q1",22,306,293,13,"zero_bins_midpoint_gt90"
4975,"1984Q2",22,196,166,30,"zero_bins_midpoint_gt90"
4976,"1984Q3",22,127,119,8,"zero_bins_midpoint_gt90"
4977,"1984Q4",22,180,144,36,"zero_bins_midpoint_gt90"
4978,"1985Q1",22,182,124,58,"zero_bins_midpoint_gt90"
4979,"1985Q2",22,109,82,27,"zero_bins_midpoint_gt90"
4980,"1985Q3",22,73,31,42,"zero_bins_midpoint_gt90"
4983,"1986Q2",22,30,29,1,"zero_bins_midpoint_gt90"
4984,"1986Q3",22,50,50,0,"unchanged"
4985,"1986Q4",22,167,146,21,"zero_bins_midpoint_gt90"
4986,"1987Q1",22,60,38,22,"zero_bins_midpoint_gt90"
4987,"1987Q2",22,216,137,79,"zero_bins_midpoint_gt90"
4988,"1987Q3",22,149,135,14,"zero_bins_midpoint_gt90"
5010,"1993Q1",22,3329,3329,0,"unchanged"
5011,"1993Q2",22,2512,2508,4,"zero_bins_midpoint_gt90"
5012,"1993Q3",22,2887,2887,0,"unchanged"
5013,"1993Q4",22,1691,1691,0,"unchanged"
