"role","file","source","source_commit","note"
"frq","bet.frq","steps/02c-LengthWeight/model/bet.frq","8e1304d","inherited from 02c-LengthWeight"
"ini","bet.ini","steps/02c-LengthWeight/model/bet.ini","8e1304d","FixM M row applied from the 01-Diag2023 mgc=-5 diagnostic final par"
"tag","bet.tag","steps/02c-LengthWeight/model/bet.tag","8e1304d","inherited from 02c-LengthWeight; tag reporting map regenerated from ini/tag"
"age_length","bet.age_length","steps/02c-LengthWeight/model/bet.age_length","8e1304d","inherited from 02c-LengthWeight"
"doitall","doitall.sh","steps/02c-LengthWeight/model/doitall.sh","8e1304d","current-executable controls regenerated; 1007 tag flags drive mixing periods; PHASE 10/11 convergence switch retained"
