"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.age_length","","81fc412","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.age_length","a4ee2efa951a6ae8dc9ac427a4b6d5bb664d3d48d4539ba87eb46bcb0f948614","a4ee2efa951a6ae8dc9ac427a4b6d5bb664d3d48d4539ba87eb46bcb0f948614","unverified","unlocked","exact Step 01 diagnostic CAAL input"
"doitall","doitall.sh","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/doitall.sh","","81fc412","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/doitall.sh","0ecb0e39d43782a0f7e9fe7bbae05dd1a77ff1ea9127a31382b69fbe76c39a6f","95f0b7a3773753dcfe9d765de6dc2f2ffcdbe35b5cb0c7ce856aba567db28312","unverified","unlocked","Step 01 scientific controls retained exactly; only the PROGRAM_PATH/set -eu safety wrapper, existing convergence switch, and reporting-only indepvar.rpt compatibility control are added"
"frq","bet.frq","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.frq","","81fc412","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.frq","ef3d8957686f44904645eeddde29730913a5f636dde118a3aa02a421efb96e5e","ef3d8957686f44904645eeddde29730913a5f636dde118a3aa02a421efb96e5e","unverified","unlocked","exact Step 01 diagnostic frequency/catch/size input"
"ini","bet.ini","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.ini","","81fc412","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.ini","cb89296e12a694647cfda434437d6a51d3cfcc8aaa5a123ee601b00d487e1d9d","cb89296e12a694647cfda434437d6a51d3cfcc8aaa5a123ee601b00d487e1d9d","unverified","unlocked","exact Step 01 MFCL 1003 ini; not promoted in this substep"
"tag","bet.tag","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.tag","","81fc412","input-repos/ofp-sam-bet-2023-diagnostic/MFCL/bet.tag","d1608e52c19e0e211eb46f008b51ac0086bb31cd3ff943bb75c3728f78030641","d1608e52c19e0e211eb46f008b51ac0086bb31cd3ff943bb75c3728f78030641","unverified","unlocked","exact Step 01 diagnostic tag input; tag reporting map regenerated from ini/tag"
