"role","file","source","source_commit","note"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.new-strucure.regional-cpue.wt-as-len-plus-len.frq","d884ce5","copied with agreed effort-creep multiplier applied to index fisheries 29-33: 1%/yr for 1952-1976 and 0.5%/yr for 1977-2024"
"ini","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/ini.mix-period/bet.2026.mix-0.2.ini","b39cbfd","FixM M row applied from 01-Diag2023 mgc=-5 final.par from Kflow job 000604; raised 41 zero tag mixing periods to 1 because MFCL >=2.2.7.5 disallows 0; normalized MFCL 1007 tag-control rows for 98 release groups"
"tag","bet.tag","input-repos/ofp-sam-2026-BET-YFT-tag-prep/BET/bet.2026.low.recaps.removed.tag","5a4f5fb","tag reporting map regenerated from ini/tag; five MFCL reporting-rate matrices parsed"
"age_length","bet.age_length","input-repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2026.age_length","a26b694","CAAL input; set age_length effective sample size to 0.75 for 181 records"
"reg_scaling","bet.reg_scaling","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2026.reg_scaling","d884ce5","global CPUE regional-scaling matrix for MFCL parest flags 77-81"
"doitall","doitall.sh","steps/04-NewStructure/model/doitall.sh","5313935","mixing override removed; regional scaling Prior_reg_biomass switch applied in PHASE 5 with flags 77=50, 78=1, 79=240, 80=220, 81=1; active periods 53-72 (1965-1969); index CPUE/selectivity groups unshared from PHASE 5; doitall exits immediately on MFCL command failure; index fishery time-varying CPUE CV flags enabled; fish flag 26 set to 3; OPR recruitment flags applied; global LF/WF divisors set to 40"
