"Step","Configuration","Terminal year","SB recent period","SB F=0 period","F recent period","SB recent (10³ t)","SB F=0 (10³ t)","SB recent / SB F=0","SB recent / SB MSY","F recent / F MSY","F multiplier at MSY","SB MSY (t)"
"01","01-Diag2023",2021,"2018–2021","2012–2021","2017–2020",779.3582125,2305.8546325,0.337991043110564,1.64804020406006,0.799360511590728,1.251,472900
"02","02-NewExeIni1007",2021,"2018–2021","2012–2021","2017–2020",783.96545,2282.4521125,0.343475092295063,1.68341303414215,0.777000777000777,1.287,465700
"03","03-FixM",2021,"2018–2021","2012–2021","2017–2020",816.7050125,2310.099235,0.35353676592166,1.71145224748533,0.764525993883792,1.308,477200
"04","04-LengthWeight",2021,"2018–2021","2012–2021","2017–2020",828.7521,2316.953065,0.357690499872081,1.70700741503605,0.769230769230769,1.3,485500
"05","05-NewStructure",2021,"2018–2021","2012–2021","2017–2020",714.25275,2197.4985,0.325029914696187,1.51388883001272,0.856898029134533,1.167,471800
"06","06-ConvertToLength",2021,"2018–2021","2012–2021","2017–2020",695.8148125,2090.41275,0.332860011736917,1.59590553325688,0.850340136054422,1.176,436000
"07","07-AddLengthData",2021,"2018–2021","2012–2021","2017–2020",714.9049375,2123.21725,0.336708331424869,1.63183048961424,0.809061488673139,1.236,438100
"08","08-DataTo2024",2024,"2021–2024","2015–2024","2020–2023",835.59625,2247.36925,0.371810840608414,1.69286112236629,0.726744186046512,1.376,493600
"09","09-SizeDataQC",2024,"2021–2024","2015–2024","2020–2023",823.6296875,2243.6155,0.367099303557138,1.67370389656574,0.738007380073801,1.355,492100
"10","10-RegionalCPUE",2024,"2021–2024","2015–2024","2020–2023",654.961875,2138.15275,0.306321367825568,1.40008951474989,0.884173297966401,1.131,467800
"11","11-TimeVaryingCV",2024,"2021–2024","2015–2024","2020–2023",690.61875,2115.1905,0.326504279401784,1.48712047803618,0.818330605564648,1.222,464400
"12","12-CPUEErrorCalibration",2024,"2021–2024","2015–2024","2020–2023",661.926625,2130.46525,0.310695809283911,1.44557026643372,0.898472596585804,1.113,457900
"13","13-NewAgeData",2024,"2021–2024","2015–2024","2020–2023",605.4429375,2086.87025,0.290120067359243,1.36361021959459,0.938967136150235,1.065,444000
"14a","14a-REG075",2024,"2021–2024","2015–2024","2020–2023",683.8995625,2197.10575,0.311272938273454,1.43766988122766,0.888888888888889,1.125,475700
"14b","14b-SUB075",2024,"2021–2024","2015–2024","2020–2023",621.3169375,2114.24075,0.293872368839736,1.39559060534591,0.914076782449726,1.094,445200
"15","15-SelectivityUpdate",2024,"2021–2024","2015–2024","2020–2023",584.7026875,2012.9985,0.290463548532202,1.382275856974,0.86281276962899,1.159,423000
"16","16-MIX020",2024,"2021–2024","2015–2024","2020–2023",451.856125,1959.44725,0.230603873107582,1.14771685293371,1.01010101010101,0.99,393700
"17","17-TagReportingExclusion",2024,"2021–2024","2015–2024","2020–2023",710.2935625,2162.4345,0.328469399882401,1.5590288904741,0.781860828772479,1.279,455600
"18","18-EffortCreep",2024,"2021–2024","2015–2024","2020–2023",752.985375,2217.4375,0.339574565235773,1.55286734378222,0.754716981132076,1.325,484900
"19","19-DMG8Nmax25",2024,"2021–2024","2015–2024","2020–2023",657.519875,2035.90125,0.322962557737022,1.59669712238951,0.772797527047913,1.294,411800
"20","20-Tau2Fixed",2024,"2021–2024","2015–2024","2020–2023",267.604875,1749.7275,0.152940886509471,0.845245972836387,1.23517786561265,0.8096,316600
"21","21-F33WeakPenalty",2024,"2021–2024","2015–2024","2020–2023",267.8934375,1749.915,0.153089400056574,0.846157414718888,1.23411082315192,0.8103,316600
"22","22-Diagnostic",2024,"2021–2024","2015–2024","2020–2023",267.859375,1539.9025,0.173945671885071,1.0254953101072,1.14364135407136,0.8744,261200
