"role","file","source","note"
"parent_model","steps/11-TimeVaryingCV/model","current branch","Copied at runtime; no fitted parent PAR is reused."
"runtime_patch","patch.R","current branch","Applies documented controls after staging and before -makepar."
"model_specification","R/step12_opr_terminal_penalty_lf_config.R","current branch","Uses ordinary quarter-specific recruitment deviations and estimates every terminal recruitment deviation. This is a structural control for the OPR terminal response."
