"figure","file","relative_path","label","caption","latex_caption","alt_text","description","format","rows","models","width","height","dpi","status"
"stepwise-key-quantity-trajectories","stepwise-key-quantity-trajectories.png","figures/stepwise-key-quantity-trajectories.png","Key-quantity trajectories","Annual estimates of dynamic spawning depletion, recruitment, spawning potential and fishing mortality across the 23 model configurations evaluated during stepwise development. The colour and line-style key identifies each configuration by step number. The dashed line in the depletion panel marks the limit reference point (LRP = 0.2).","Annual estimates of dynamic spawning depletion ($SB/SB_{F=0}$), recruitment, spawning potential, and fishing mortality across the 23 model configurations evaluated during stepwise development. The colour and line-style key identifies each configuration by step number. The dashed line in the depletion panel marks the limit reference point (LRP = 0.2).","Annual estimates of dynamic spawning depletion, recruitment, spawning potential and fishing mortality across the 23 model configurations evaluated during stepwise development. The colour and line-style key identifies each configuration by step number. The dashed line in the depletion panel marks the limit reference point (LRP = 0.2).","Wide four-panel annual time-series comparison of all stepwise model configurations.","png",1658,23,11.2,7.4,300,"ok"
"stepwise-key-quantity-changes","stepwise-key-quantity-changes.png","figures/stepwise-key-quantity-changes.png","Key quantities by model-development step","Stock-status quantities across the 23 model configurations evaluated during stepwise development. For each configuration, recent periods are defined relative to its terminal year: spawning biomass uses T-3 to T, unfished spawning biomass uses T-9 to T, and fishing mortality uses T-4 to T-1. For Step 22 (T = 2024), these periods are 2021-2024, 2015-2024 and 2020-2023, respectively. The depletion line marks the limit reference point (LRP = 0.2); MSY-ratio lines mark 1.0.","Stock-status quantities across the 23 model configurations evaluated during stepwise development. For each configuration, recent periods are defined relative to its terminal year: spawning biomass uses $T-3$ to $T$, unfished spawning biomass uses $T-9$ to $T$, and fishing mortality uses $T-4$ to $T-1$. For Step~22 ($T=2024$), these periods are 2021--2024, 2015--2024, and 2020--2023, respectively. The depletion line marks the limit reference point (LRP = 0.2); MSY-ratio lines mark 1.0.","Stock-status quantities across the 23 model configurations evaluated during stepwise development. For each configuration, recent periods are defined relative to its terminal year: spawning biomass uses T-3 to T, unfished spawning biomass uses T-9 to T, and fishing mortality uses T-4 to T-1. For Step 22 (T = 2024), these periods are 2021-2024, 2015-2024 and 2020-2023, respectively. The depletion line marks the limit reference point (LRP = 0.2); MSY-ratio lines mark 1.0.","A4 four-panel comparison of native stock-status quantities by model-development step.","png",92,23,7.15,9.25,300,"ok"
