"role","file","source","source_commit","note"
"frq","bet.frq","steps/02b-Ini1007/model/bet.frq","5313935","inherited from 02b-Ini1007"
"ini","bet.ini","steps/02b-Ini1007/model/bet.ini","5313935","set total population scaling factor LN(R0) from 25 to 17"
"tag","bet.tag","steps/02b-Ini1007/model/bet.tag","5313935","inherited from 02b-Ini1007; tag reporting map regenerated from ini/tag"
"age_length","bet.age_length","steps/02b-Ini1007/model/bet.age_length","5313935","inherited from 02b-Ini1007"
"doitall","doitall.sh","steps/02b-Ini1007/model/doitall.sh","5313935","current-executable controls regenerated; 1007 tag flags drive mixing periods; PHASE 10/11 convergence switch retained"
