"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"age_length","bet.age_length","input-repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2023.new-structure.age_length","","a26b694","input-repos/ofp-sam-2026-BET-YFT-age-length-build/BET/bet.2023.new-structure.age_length","1c51daab63859af5392d42d5ebbff6bd1821ff315f5fddea083bcc2ba849bcef","5529b5c52079f9cde36f84a133bc9864b27bd70d41ece809f4863e5a29786135","unverified","unlocked","old CAAL / age_length reassigned to the new fisheries; set age_length effective sample size to 0.75 for 112 records"
"doitall","doitall.sh","steps/04-NewStructure/model/doitall.sh","","7d29c47","steps/04-NewStructure/model/doitall.sh","b68ed9f506cf7c654fdfc418ca704ed81185e1d2abefb33ed4b7df91841a77c2","b68ed9f506cf7c654fdfc418ca704ed81185e1d2abefb33ed4b7df91841a77c2","unverified","unlocked","5-region controls retained; tag mixing periods read from MFCL 1007 ini tag flags; made fail-fast for Kflow"
"fitted_source","JOB13328","","","","","","","not-public","unresolved","Job13328 fitted-model source metadata is inaccessible without Kflow credentials; do not represent it as public until repository commit path and SHA256 are supplied"
"frq","bet.frq","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2023.new-structure.global-cpue.frq","","f89e066","input-repos/ofp-sam-2026-BET-YFT-frq-build/BET/bet.2023.new-structure.global-cpue.frq","e9b21f28ccdc4644717233a4f13a8ed42da9c2630276a2c5d8d8309f92430aae","e9b21f28ccdc4644717233a4f13a8ed42da9c2630276a2c5d8d8309f92430aae","unverified","unlocked","5-region 2021-terminal new-structure frq with global CPUE"
"hessian_merge","JOB13432","","","","","","","not-public","unresolved","Job13432 Hessian-merge metadata is inaccessible without Kflow credentials; it is not the Job13328 fitted-model source"
"ini","bet.ini","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2023.new.structure.ini","","d48e396","input-repos/ofp-sam-2026-BET-YFT-build-ini/BET/bet.2023.new.structure.ini","1bbcdfe2c350879d0fb5c07395f7d2567e79a4554e5765b9d8e7db437ad270ec","6d3af02b559bc73be15afcdce2af26e1606cbfa8d7963cebcfb430bb84979955","unverified","unlocked","Fixed Lorenzen natural-mortality intercept applied from the 01-Diag2023 mgc=-5 diagnostic final par; set Length-weight parameters from `3.063397e-05 2.932384` to `3.073533e-05 2.932410`; normalized MFCL 1007 tag-control rows for 96 release groups; RRPTTP26 rebuilt the complete RTTP/PTTP/JPTP group, active, initial, target, and penalty matrices from the audited 33-fishery table"
"rrpttp26_reporting_audit","bet.ini","config/rrpttp26-reporting-rates.csv","","7d29c47","config/rrpttp26-reporting-rates.csv","6d926d0bef79f54a8fc0a573480959b7f91e9f90be1e912068662edfac388db2","6d3af02b559bc73be15afcdce2af26e1606cbfa8d7963cebcfb430bb84979955","unverified","unlocked","SC22 BET purse-seine reporting-rate means and penalties mapped to the 2023-structure tag rows"
"tag","bet.tag","input-repos/ofp-sam-2026-BET-YFT-tag-prep/BET/bet.2023.new.structure-low.recaps.removed.tag","","471b2fd","input-repos/ofp-sam-2026-BET-YFT-tag-prep/BET/bet.2023.new.structure-low.recaps.removed.tag","8ab51bcc42e55a07150950535acb665bac4d552a536530bfe3d1d040dd90d12b","8ab51bcc42e55a07150950535acb665bac4d552a536530bfe3d1d040dd90d12b","unverified","unlocked","low-recapture-removed 2023 new-structure tag input; tag reporting map regenerated from ini/tag"
