"role","file","source","source_commit","note"
"frq","bet.frq","steps/04-NewStructure/model/bet.frq","a8e9784","copied byte-for-byte from 04-NewStructure"
"ini","bet.ini","steps/04-NewStructure/model/bet.ini","a8e9784","copied byte-for-byte from 04-NewStructure"
"tag","bet.tag","steps/04-NewStructure/model/bet.tag","a8e9784","copied byte-for-byte from 04-NewStructure"
"age_length","bet.age_length","steps/04-NewStructure/model/bet.age_length","a8e9784","copied byte-for-byte from 04-NewStructure"
"doitall","doitall.sh","steps/04-NewStructure/model/doitall.sh","a8e9784","only the five reviewed fishery-level LF/selectivity controls are changed"
