"role","file","source","note"
"parent_model","steps/12-OrthogonalPoly/model","current branch","Copied at runtime; no fitted parent PAR is reused."
"runtime_patch","patch.R","current branch","Applies documented controls after staging and before -makepar."
"model_specification","R/step12_opr_terminal_penalty_lf_config.R","current branch","Tests 73 annual OPR coefficients with a one-calendar-year endpoint and terminal-recruitment penalty weight 100. The reviewed controls are held constant across shared selectivity groups, and every case receives the same 1,000-evaluation phase; weight zero is the matched optimisation control."
