"rule","fishery","source_sha256","output_sha256","lf_rows_before","affected_rows","empty_rows_removed","count_before","count_after","removed_count","renormalised","catch_or_effort_changed"
"interval midpoint >90 cm removed",21,"3abf83821f8d696b36f020a80f48f99445f9e15046bdb3741adfac778c82ad60","9b8f4630b5b8bec8b8292e8207cc789b00542d29338faf6187f3c9af55504aa3",40,3,1,2130,2074,56,FALSE,FALSE
"interval midpoint >90 cm removed",22,"3abf83821f8d696b36f020a80f48f99445f9e15046bdb3741adfac778c82ad60","9b8f4630b5b8bec8b8292e8207cc789b00542d29338faf6187f3c9af55504aa3",138,123,0,108385,102239,6146,FALSE,FALSE
"interval midpoint >90 cm removed",23,"3abf83821f8d696b36f020a80f48f99445f9e15046bdb3741adfac778c82ad60","9b8f4630b5b8bec8b8292e8207cc789b00542d29338faf6187f3c9af55504aa3",21,16,0,50146,48444,1702,FALSE,FALSE
