"line","period","total_before","total_after","removed_count","action"
3673,"2008Q4",65,65,0,"unchanged"
3674,"2009Q1",78,78,0,"unchanged"
3675,"2009Q2",47,47,0,"unchanged"
3676,"2009Q3",93,84,9,"zero_bins_lt70"
3677,"2009Q4",255,237,18,"zero_bins_lt70"
3678,"2010Q1",417,411,6,"zero_bins_lt70"
3679,"2010Q2",182,182,0,"unchanged"
3680,"2010Q3",110,106,4,"zero_bins_lt70"
3681,"2010Q4",185,184,1,"zero_bins_lt70"
3682,"2011Q1",98,98,0,"unchanged"
3683,"2011Q2",181,180,1,"zero_bins_lt70"
3684,"2011Q3",74,71,3,"zero_bins_lt70"
3685,"2011Q4",300,211,89,"zero_bins_lt70"
3686,"2012Q1",183,162,21,"zero_bins_lt70"
3687,"2012Q2",107,107,0,"unchanged"
3688,"2012Q3",234,234,0,"unchanged"
3689,"2012Q4",346,325,21,"zero_bins_lt70"
3690,"2013Q1",182,160,22,"zero_bins_lt70"
3691,"2013Q2",287,263,24,"zero_bins_lt70"
3692,"2013Q3",1029,1025,4,"zero_bins_lt70"
3693,"2013Q4",472,465,7,"zero_bins_lt70"
3694,"2014Q1",1205,1159,46,"zero_bins_lt70"
3695,"2014Q2",672,644,28,"zero_bins_lt70"
3696,"2014Q3",303,301,2,"zero_bins_lt70"
3697,"2014Q4",333,273,60,"zero_bins_lt70"
3698,"2015Q1",105,105,0,"unchanged"
3699,"2015Q2",599,429,170,"zero_bins_lt70"
3700,"2015Q3",665,593,72,"zero_bins_lt70"
3701,"2015Q4",446,441,5,"zero_bins_lt70"
3702,"2016Q1",715,670,45,"zero_bins_lt70"
3703,"2016Q2",855,827,28,"zero_bins_lt70"
3704,"2016Q3",714,710,4,"zero_bins_lt70"
3705,"2016Q4",667,665,2,"zero_bins_lt70"
3706,"2017Q1",275,275,0,"unchanged"
3707,"2017Q2",569,565,4,"zero_bins_lt70"
3708,"2017Q3",1395,1394,1,"zero_bins_lt70"
3709,"2017Q4",687,684,3,"zero_bins_lt70"
3710,"2018Q1",314,314,0,"unchanged"
3711,"2018Q2",637,636,1,"zero_bins_lt70"
3712,"2018Q3",534,533,1,"zero_bins_lt70"
3713,"2018Q4",305,305,0,"unchanged"
3714,"2019Q1",70,70,0,"unchanged"
3715,"2019Q2",299,297,2,"zero_bins_lt70"
3716,"2019Q3",310,304,6,"zero_bins_lt70"
3717,"2019Q4",832,832,0,"unchanged"
3718,"2020Q1",366,365,1,"zero_bins_lt70"
3719,"2020Q2",1768,1768,0,"unchanged"
3720,"2020Q3",783,776,7,"zero_bins_lt70"
3721,"2020Q4",433,433,0,"unchanged"
3722,"2021Q1",550,545,5,"zero_bins_lt70"
3723,"2021Q2",525,524,1,"zero_bins_lt70"
3724,"2021Q3",826,795,31,"zero_bins_lt70"
3725,"2021Q4",725,722,3,"zero_bins_lt70"
3726,"2022Q1",317,317,0,"unchanged"
3727,"2022Q2",1060,1058,2,"zero_bins_lt70"
3728,"2022Q3",779,772,7,"zero_bins_lt70"
3729,"2022Q4",374,367,7,"zero_bins_lt70"
3730,"2023Q1",339,337,2,"zero_bins_lt70"
3731,"2023Q2",846,835,11,"zero_bins_lt70"
3732,"2023Q3",865,853,12,"zero_bins_lt70"
3733,"2023Q4",743,549,194,"zero_bins_lt70"
3734,"2024Q1",483,483,0,"unchanged"
3735,"2024Q2",1715,1715,0,"unchanged"
3736,"2024Q3",3384,3381,3,"zero_bins_lt70"
