"role","file","source","note"
"parent_model","steps/12-OrthogonalPoly/model","current branch","Copied at runtime; no fitted parent PAR is reused."
"runtime_patch","patch.R","current branch","Applies documented controls after staging and before -makepar."
"model_specification","R/step12_opr_terminal_penalty_lf_config.R","current branch","Uses the binned-gamma likelihood with a one-recapture censor and one estimated dispersion parameter to represent excess zero/small cells. Likelihood values cannot be compared directly with negative-binomial cases."
